PartitionKey,RowKey,Category,Category_type,CategoryDescription,CategoryDescription_type,DefaultTeam,DefaultTeam_type,Organization,Organization_type,Service,Service_type,Type,Type_type
2017db8e-d8c8-4e94-8bde-30bf3121774b,004dedfa-17d5-44e7-8e28-8461ca6b4c7e,DB Canada -Report not received,String,Scheduled report not received for ContosoCanada,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada - Report Missing,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,00864749-f216-4f36-a75a-9cd8bab79347,IBK Error,String,IBK Errors,String,Camuto ERP Support,String,ContosoInc,String,IBK,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,00c88e95-1404-463a-86cf-5c0f883e93e5,Request addtional export channel in Redpoint,String,Request addtional export channel from Redpoint,String,Digital Cloud Applications,String,ContosoInc,String,Redpoint,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,01cdb318-f531-4e38-b437-d1ecaa1cbf4c,Windows Server Build Backup Request,String,Windows Server Build Backup Request,String,IOC,String,ContosoInc,String,Windows Server,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,01e2587e-1853-4afa-8134-2824aa356050,Jesta Vision Answers Access Request,String,Request Jesta Vision Answers access/installation,String,ContosoCanada ERP Support,String,ContosoCanada,String,Jesta Vision Answers,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,020833f7-2649-4016-ad93-bfddefc85a37,DB Canada -Request Associate Discount Setup,String,Request Associate Discount Setup,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada Associate Discount,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,02c6278c-f803-492f-acd1-fc1a047ce846,Request Front Door Access to CrowdStrike,String,Request Front Door Access to CrowdStrike,String,Solution Desk,String,ContosoInc,String,Crowd Strike,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,02fb5ecf-c62e-4931-bbd6-95051e4343a4,Request Access to WinPak,String,Request Access to WinPak,String,Corporate Systems,String,ContosoInc,String,WinPak,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,035a44a6-32d5-47e8-938a-3601858ee1e7,Azure DevOps New Deployment Pipeline,String,We can help design a pipeline to automatically deploy code to your environment,String,Platform Reliability Eng,String,ContosoInc,String,Azure DevOps,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,03dec062-10ef-4ec3-a42e-ce50581602ed,Decom-Generic,String,"Decom Server, Decom assets ",String,IOC,String,ContosoInc,String,Decom,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,04527c8b-3cae-4c21-be52-e91684f6ab9d,New Store Opening and Needs a Temp Mailbox,String,New Store Opening and Needs a Temp Mailbox,String,Infrastructure Windows,String,ContosoInc,String,Microsoft Outlook,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,045f1d47-69b0-4593-98c7-f7c1aa3b1b0b,Report when you have an application being blocked by the system,String,"Application is being blocked, getting error message when trying to load ",String,ContosoInc-Engineering - End User,String,ContosoInc,String,Application Blocked,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,05126adb-b2a7-4f49-90eb-0eb39bcb4d12,KPI Reporting Issue,String,Report Issues with KPI Report,String,Solution Desk,String,Stores,String,KPI Reporting,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,05319ac5-1903-49f1-809b-1cfb8da62608,F5 BigIP iSeries Issues,String,F5 BigIP iSeries Issues,String,Network,String,ContosoInc,String,F5 BigIP iSeries,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,05412443-12c9-402d-a1df-461887a63d7f,Request Front Door Access to Panorama,String,Request Front Door Access to Panorama,String,Solution Desk,String,ContosoInc,String,Palo Alto Panorama,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0580fa91-8488-4539-ace7-b673c8a696b6,Citrix Configuration Issues,String,Citrix desktop is not configured properly or you are missing applications in Citrix.,String,Solution Desk,String,ContosoInc,String,Citrix,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,05f7960c-051d-4775-94d3-7303a70ee4ca,Request Access to Arista Cloud Vision Portal (CVP),String,Request Access to Arista Cloud Vision Portal (CVP),String,Network,String,ContosoInc,String,Arista Cloud Vision Portal (CVP),String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,06c789af-eff6-428a-86f1-7bb0825ddf99,WM -Cart and Task Related Issues,String,WM -Cart and Task Related Issues,String,DC Support,String,ContosoInc,String,Warehouse Management,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,070aa298-2a46-40df-9f45-d2f53a12c13a,Process Unity Security Grant Access,String,Automated use only,String,IT Security,String,ContosoInc,String,Onboarding,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,07478b7e-65bc-4de2-a9a3-b1a1c7b8d8cd,SuccessFactors On Boarding Issue,String,New Hire On Boarding Issue in Success Factors,String,HR Systems,String,"ContosoInc, Stores",String,Success Factors,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,07caa8d8-9c8e-437b-9ce9-4d3d0fea768b,Request Access to CyberArk,String,Please provide team you need added to,String,Solution Desk,String,ContosoInc,String,CyberArk,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,07e15e1f-595e-40ff-beaa-836676f5c900,Prohibition Error Access Request,String,"Receiving a ""Prohibited Access Alert"" in error?  Submit justification to IT Security here.",String,IT Security,String,ContosoInc,String,Prohibited Access Alert,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,07f032ef-41d5-4ca1-8c89-d68f2bca87f3,Unix Server - Add Storage,String,Request to add storage to your Unix server,String,San Operations,String,ContosoInc,String,Unix,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0816de2a-f606-4d70-b048-1c418298f87c,Unable to Access External Website,String,Unable to Access External Website,String,Solution Desk,String,ContosoInc,String,Network,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,084ec37f-2307-4d19-be67-0aff09944e77,ABS - New Customer,String,ABS - New Customer setup,String,Camuto ERP Support,String,ContosoInc,String,ABS and EDI,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,088ac5d3-24e3-4c2a-ab4a-5c25ca9324e2,Receiving Bitlocker Message,String,Receiving Bitlocker Message,String,Solution Desk,String,ContosoInc,String,Bitlocker,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,08946a2e-aba8-4db8-9a92-66b5d4f5052d,Questions about Microsoft 0365,String,If you have any questions about using Microsoft 0365 applications please submit those here.,String,Solution Desk,String,ContosoInc,String,Office 365,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,091b14cd-1627-46e1-b6df-a686dde1a1e1,DB Canada -Request Promotional Barcode,String,Request Promotional Barcode,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada - Promotional Barcode,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0938c8c3-5ae9-44d9-8a8e-149014f5de5a,Request Access to Sectigo,String,Request Access to Sectigo,String,Solution Desk,String,ContosoInc,String,Sectigo,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,09468d0d-782e-49cb-b636-c1b8482f0be5,Request to have Redpoint Citrix access,String,Add user to Citrix application for Redpoint,String,Solution Desk,String,ContosoInc,String,Redpoint,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0a62591e-8b1e-40c5-a830-8f039ce30b25,Unable to Connect to Server,String,Unable to connect to Unix/Linux Server,String,Unix,Binary,ContosoInc,String,Unix,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0a7b664e-7a8d-444c-9dd7-ae4abcfdf894,Oracle FCCS Access Request,String,Oracle FCCS Access Request,String,Corporate Systems,String,ContosoInc,String,Oracle FCCS,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0aba14eb-d9fb-4d9d-bc12-15067438758a,Allocation Not Responding,String,Allocation application Not Responding,String,Merchandise Planning,String,ContosoInc,String,Allocation,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0adde990-29da-4676-83fa-3576da8a3906,ADP Unable to Access Workforce Manager,String,(management only) Unable to access WFM link on back-office computer,String,Solution Desk,String,ContosoInc,String,ADP Timekeeping,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0b727625-c1be-4f4f-8b75-a10303f8d98c,"Locks, Sessions, Indexes, and Performance Issues",String,"Issues with Database(locks, sessions, indexes, performance)",String,Database,Binary,ContosoInc,String,Database,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0bb3d1b1-f97c-4345-a333-00bcadc178b1,Other WMS issues and processes,String,Other WMS issues and processes,String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0c4ddc2a-e9cb-467b-b621-11f4fcccc76c,Request to update ATG Configuration,String,Request to update ATG Configuration,String,Platform Reliability Eng,String,ContosoInc,String,ATG Configuration,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0cee1701-590e-4052-bd9e-dbd25f7eb935,Create new cloud resources,String,Starting place to begin conversations for new cloud resources and the associated processes / architectures,String,Platform Reliability Eng,String,ContosoInc,String,Azure Cloud,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0d53da42-b7f1-47fc-93b1-5bd4243a7632,Report Issues with Docuware,String,Report Issues with Docuware,String,NJDC Support,String,ContosoInc,String,Docuware,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0d99d5f3-8b57-4958-94e9-d37da13994c4,Provision Qualys for Sailpoint,String,Provision Qualys for Sailpoint,String,Solution Desk,String,ContosoInc,String,Qualys,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0dd02db3-0b78-46e3-9c86-f0555537a62c,Office 365 -  Report possible Phishing Email,String,Office 365 -  Report possible Phishing Email,String,Solution Desk,String,ContosoInc,String,Microsoft Outlook,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0e0862a3-314d-4ddf-add9-7e105fcdfe8e,Report issues with OEM,String,Report issues with OEM,String,Database,Binary,ContosoInc,String,OEM,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0e1a28b4-ff56-40b6-94b6-c8b43df0907b,Report Issues with RAVE,String,Report Issues with RAVE,String,Solution Desk,String,ContosoInc,String,RAVE,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0e29d7cd-2ff1-46a5-bef3-d2a9a115156c,Request Access to Xerox Print Management,String,Request Access to Xerox Print Management,String,Solution Desk,String,ContosoInc,String,Xerox Print Management,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,0e3da29c-92de-44c1-82a3-ec7aecd26e92,VIP - Customer Points Issue,String,Customer Points Issues with VIP,String,Digital Cloud Applications,String,"ContosoInc, Stores",String,VIP Rewards,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0e41465a-368b-49e1-8b89-54aa78bd1a65,Unable to Access LM,String,"Unable to Access LM, Labor Management ",String,Distribution Systems,String,ContosoInc,String,Labor Management (LM),String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0e64e9d3-cd7b-46ff-8fb7-db6d91549884,ADP Operational Dashboard,String,ADP Operational Dashboard,String,ADP Store Scheduling Support,String,"ContosoInc, Stores",String,ADP Timekeeping,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,0f593975-9e59-449d-88af-cd3a3ea053c8,Request a Teams Phone Number,String,Please provide a business justification for why you need a team's phone number.,String,Solution Desk,String,ContosoInc,String,Microsoft Teams,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,100a42a5-dbde-44eb-8c2d-72a605d8557a,DNS Creation Request,String,DNS Creation Request,String,Infrastructure Windows,String,ContosoInc,String,DNS,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,110cf3a5-b6b1-46e7-bfd5-6343019dfe03,Request Access to ERP,String,New ERP User,String,Corporate Systems,String,ContosoInc,String,ERP Oracle Fusion,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,115c382f-f61b-4461-963b-abb0c4d71977,Update/Role Change,String,"Used for role updates for existing employees, not for FTE to Contractor moves, job change",String,HR Systems,String,ContosoInc,String,Employee Update/Role Change,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,11b378f3-72cc-4247-847e-4365754e4c2d,Report issues with Concur,String,Report issues with Concur,String,Solution Desk,String,ContosoInc,String,Concur,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,11b78bb2-a5c2-4aee-9fed-97431a2340fd,Virus Alert,String,Virus Issue on Work PC,String,Solution Desk,String,ContosoInc,String,Anti-Virus,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,11c4efd8-fc7b-4311-84d0-0c59008f3e63,I am unable to access Process Unity,String,"Unable to log into Process unity, password not working etc.",String,IT Security,String,ContosoInc,String,Process Unity,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,12e03783-cc66-4fae-9bae-9cd76c70a655,"Voice processes putaway, cart build, singles and carton picking",String,"Voice processes putaway, cart build, singles and carton picking",String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,12e87b73-b9f2-4de6-aaaa-554fc49bd2cf,Nasuni Space Issues,String,"Nasuni Space Issues, Files Shares space issue",String,San Operations,String,ContosoInc,String,Nasuni,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,13b310b8-c3ef-4cd5-832b-3f3c5bc3162e,Report Issues with Stash,String,Report Issues with Stash,String,Digital Cloud Applications,String,ContosoInc,String,Stash,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,13c15949-4e6c-4cda-af52-c5ede0651dd7,Unable to Access OMS COM,String,Unable to Access OMS COM,String,Solution Desk,String,ContosoInc,String,OMS COM,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1426ea74-ea12-48ee-addd-6fa50736118b,Unable to Access Jesta DSW,String,Unable to Access Jesta DSW,String,Solution Desk,String,ContosoInc,String,Jesta DSW,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1468fce9-78ae-4881-864d-52dd2f135a93,Wave Build and Details,String,Wave Build and Details,String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1498de8a-326d-4387-b50a-4dced254da41,HotonTime Access Issues,String,Please provide error messages and details for any access issues you are having with Hot On Time,String,HotOnTime,String,ContosoInc,String,HotOntime,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,14e0f5cb-5948-483f-9420-673dc8394290,Issue with DFS,String,Issue with DFS or file shares,String,San Operations,String,ContosoInc,String,DFS,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,15116623-c466-4841-aeb9-e53974f16738,Informatica/Integration - Glass Break,String,Glass Break request,String,IOC,String,ContosoInc,String,Informatica/Integration,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,15849597-9988-409b-953c-c84c4dfb0894,Request Access LM,String,Request Access LM,String,DC Support,String,ContosoInc,String,Labor Management (LM),String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,16074795-2d01-47ad-aa05-5df1ddb9761b,ABS - Issue,String,ABS issue,String,Camuto ERP Support,String,ContosoInc,String,ABS and EDI,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,161f9451-6932-4a2b-b548-84d507179ff3,"Inbound receiving sortation, Pallet Lanes, Case Loops, Returns",String,"Inbound receiving sortation, Pallet Lanes, Case Loops, Returns",String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,16410f34-84a4-40cd-8112-9b629d296b01,Learning Spot Training Issue,String,Training Issue with training module in Learning Spot,String,DB Learning & Development,String,"ContosoInc, Stores",String,Learning Spot,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,164b644b-7f6f-4c20-babf-4524929b9bab,Report Issues with Stream,String,Report Issues with Stream,String,Infrastructure Windows,String,ContosoInc,String,Microsoft Stream,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,16be383c-c1e1-4bcb-bdc9-8b75dc37d37e,Antivirus / EDR Configuration Request,String,Antivirus / EDR Configuration Request,String,IT Security,String,ContosoInc,String,AntiVirus,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1732abce-e0d7-495b-871c-963d6459011f,Request Access to Airtable,String,Request Access to Airtable,String,Solution Desk,String,ContosoInc,String,Airtable,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1737a51c-f74e-4497-b586-048eda74fcba,Highjump -Order Import Issues,String,"Order Import configuration, validations and issues",String,Camuto Highjump,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1763ef01-6c9b-4ea9-8d68-09f2b58ea065,Office 365 - Configuration Issue,String,Office 365 - Configuration Issue,String,Solution Desk,String,ContosoInc,String,Office 365,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,17dc52be-7c92-4372-85f9-17b0c06e6afb,DB Canada - Request Sales Audit Investigation,String,Request Sales Audit Investigation,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada - Sales Audit Investigation,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,18860f59-ffb5-4e91-82a1-f69c64be97a8,Request Access to Genetec,String,Request Access to Genetec,String,Solution Desk,String,ContosoInc,String,Genetec,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,18973ac9-eccd-447d-bdc3-501d2ddbbf60,Polycom Device Issues,String,"Issues Using Device, Device Offline etc",String,Solution Desk,String,ContosoInc,String,Polycom,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,18c893d2-4e52-4abd-b3ed-d412dfb347ab,Circuit down for CMH9 DC,String,Circuit down for CMH9 DC,String,Network,String,ContosoInc,String,Network,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,18fa6a11-5feb-40d9-9278-b2ee044964c1,Request access to Daily Sales DSW Distro,String,Use for access to these distros ONLY,String,Solution Desk,String,ContosoInc,String,Daily Sales DSW Distro,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,191f947e-011c-48b7-a1c6-59294dd61a15,Unable to Access CSS Rewards,String,Unable to access CSS,String,Digital - Triage,String,ContosoInc,String,CSS Rewards,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1921b7c4-a971-48f1-b888-e390b838d29e,MAP Not Responding,String,MAP is not responding,String,Merchandise Planning,String,ContosoInc,String,MAP - Merchandise Assortment Planning,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,198e5bd2-8ebb-4865-8a34-cfd65d7b88ce,I am recieving an error in Process Unity,String,Receiving and error when opening or working in Process Unity,String,IT Security,String,ContosoInc,String,Process Unity,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1990aa89-950c-41d3-8fe5-0b05bc63f39d,Access/Permissions to ABS,String,Access/Permissions for ABS,String,Camuto ERP Support,String,ContosoInc,String,ABS and EDI,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,19b76591-2f45-42be-939f-ac8178d7d9ad,"Outbound Loads and shipments management, assign staging and door locations",String,"Outbound Loads and shipments management, assign staging and door locations",String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,19caae93-a89b-46a2-a0b6-acf6ebc30896,Evidence Generation -System Log,String,Evidence Generation -System Log,String,IT Security,String,ContosoInc,String,Evidence Generation,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1a0bcbb1-28c6-40ef-8c15-7e6653c5b955,Report Issues with SOTI,String,Report Issues with SOTI,String,Store Technology,String,ContosoInc,String,SOTI,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1a7be47f-63c9-45d6-befd-ee72ae48d1b4,"Reservations and quality, reconciliation, analysis",String,"Reservations and quality, reconciliation, analysis",String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1a8588bc-47d1-4120-a578-293fc3fd34be,Unable to Access Onbase,String,Unable to Access Onbase or any issues with the application not performing as expected,String,Corporate Systems,String,ContosoInc,String,Onbase,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1a99e705-a608-4d44-bd5d-7bd171cf9f1b,Incorrect Display Mobile,String,Product not displayed correctly on the Digital Mobile App,String,Digital - Triage,String,ContosoInc,String,Dot Com Product Issues,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1b00d08e-adf2-4e83-930e-56858ff2ec38,Feedonomics Issues,String,Submit an incident for Feedonomics,String,ContosoCanada ERP Support,String,ContosoCanada,String,Feedonomics,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1b5224a0-85c7-4e9f-a1e6-34fb3010681c,"Classic, Putwall, Panda packing",String,"Classic, Putwall, Panda packing",String,NJDC Support,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1bc50f2e-5c10-448f-8544-00406a1b610c,DB Canada -Request Inventory Investigation,String,Inventory Discrepancy Investigation,String,ContosoCanada ERP Support,String,ContosoCanada,String,DB Canada Inventory Investigation,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1c367743-4c28-4dcb-9280-6dff662dc313,ABS and EDI - ASN Issues,String,Report issues with ASN for ABS/ EDI - Camuto,String,Camuto EDI Support,String,ContosoInc,String,ABS and EDI,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1c46117e-0c93-497b-92ed-b942d945f6f8,Request Access to Bitsight,String,Request Access to Bitsight,String,Solution Desk,String,ContosoInc,String,Bitsight,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1c7d5101-0c7b-4f3d-bb13-8bbf0be16483,Report Issues with Responsys,String,Report Issues with Responsys,String,Digital Cloud Applications,String,ContosoInc,String,Responsys,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1cbbd4a2-f948-48aa-b46f-211ffa15eb29,ATG Database Access,String,ATG Database Access,String,Database,Binary,ContosoInc,String,ATG Databaase,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1d00f6b2-233e-4fc1-8bb7-3da7685705ef,Jesta Publisher - Termination request,String,Request Termination of Access,String,ContosoCanada ERP Support,String,ContosoCanada,String,Jesta Publisher,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1d078d67-b4a6-4369-96a5-0c070b00254c,Request Eigen and TD Portal access,String,Request Eigen and TD Portal access,String,ContosoCanada AppDev,String,ContosoCanada,String,Eigen and TD Portal DB Canada,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1d793c4b-e419-40a2-bee6-352992ed5464,Local Admin Request,String,Need Local Admin Access on PC,String,ContosoInc-Engineering - End User,String,ContosoInc,String,Domain,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1e4cd520-4ea0-43e8-8445-418556e7c0e8,Deployment Pipeline Assistance,String,Help extending a deployment pipeline,String,Platform Reliability Eng,String,ContosoInc,String,Digital Applications,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,1e55a862-f4af-4fa4-a06f-4edc1fa5f874,BCC Password Reset,String,Request to reset your password to the BCC,String,IOC,String,ContosoInc,String,BCC,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1ec4e285-ea9c-4d7f-9782-dfa285d6558b,Unable to Access OpsGenie,String,Unable to Access OpsGenie,String,IAM Support,String,ContosoInc,String,OpsGenie,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,1ee6705d-82a1-4846-80af-2ccf8a645a5e,Report Issues with HotOntime,String,HotOnTime issue,String,HotOntime,String,ContosoInc,String,HotOntime,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,203cf8a3-d3f1-4d31-a26d-603e44069dcb,Division Setup,String,ABS - Division Setup,String,Camuto ERP Support,String,ContosoInc,String,ABS and EDI,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,21460ef9-92e1-4ddf-a144-0d45810f96ee,Report issues with Docker,String,Report issues with Docker,String,Digital Cloud Applications,String,ContosoInc,String,Docker,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,21741f97-3344-451e-86d6-dcd2fddce315,Report Issues with BluJay TMS,String,Report Issues with BluJay TMS,String,Digital Cloud Applications,String,ContosoInc,String,BluJay TMS,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,223df113-a9ca-4198-89c6-164ba24f981a,Request Front Door Access to Netskope,String,Request Front Door Access to Netskope,String,Solution Desk,String,ContosoInc,String,Netskope,Binary,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,224ea5e8-8f0d-484d-b950-ed69f0f955cb,Request access to Digital Sample Tracker,String,Request access to Digital Sample Tracker,String,Digital UI - Web,String,ContosoInc,String,Digital Sample Tracker,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,22727e94-3243-4909-aa4c-08b5d6eb9b23,ContosoCanada Stuck Orders,String,ContosoCanada Stuck Orders,String,ContosoCanada AppDev,String,ContosoCanada,String,OMS,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,235e0859-2793-497e-ab6b-3b353617cbde,ContosoCanada Store equipment Replacement,String,Equipment Replacement for Designer Brands Canada�,String,ContosoCanada Store Support,String,ContosoCanada,String,ContosoCanada Store Hardware,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,23b9e813-d90b-44aa-b698-a957e5f34112,New User,String,ABS - Granting access to new user,String,Camuto ERP Support,String,ContosoInc,String,ABS and EDI,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,23d77caa-6416-4d9d-8389-ea0e75f4fe47,Report Issues with Cofense,String,Report Issues with Cofense,String,Digital ATG,String,ContosoInc,String,Cofense,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,23d8b9c7-1315-4678-90c6-441fbffe87f8,Request Batch File Uploader installation,String,Request Batch File Uploader installation,String,ContosoInc-Support - End User,String,ContosoInc,String,Batch File Uploader,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,244a5a0f-cd89-4175-9911-8c250395e7ca,ABS - Password Reset,String,ABS - Password Reset,String,San Operations,String,ContosoInc,String,ABS and EDI,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,24aa0729-d189-4e8b-b9be-591902ada95f,InContact Email Issue,String,Incontact Email Issue,String,Solution Desk,String,ContosoInc,String,InContact,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,24f18f66-1bb1-43be-8725-ae028a666d07,RMS Returns Monitoring Performance Issue,String,RMS Returns Monitoring Performance Issue,String,Store Technology,String,ContosoInc,String,RMS Returns Monitoring,String,Incident,Binary
